#stairCaseSerialID,parameterNumberToChange,initialValue,Operator to use for positive,Value to use for positive,Operator To Use for Negative,Value to Use for Negative,num of iteration for positive,num of iterations for negative,number of iterations for finish,valueToCompare,comparationOperan,numberofphases,Phase to Manipulate,Operator for conversion,Value for  converstion,flipBreakLimit,Use Border,top Border,bottom Border,Use Probability,positive Prob,Negative Prob,use inhibition,pos inhibition number,neg inhibition,FlipInhbitionNumber
1,11,1,*,1,*,1,1,1,1,0.5,>,2,2,+,0,5,FALSE,1,0,FALSE,100,100,TRUE,1,1,4
1220201,12,1,/,1,*,1,1,1,1,0.5,>,2,2,+,1,5,FALSE,1,0,FALSE,100,100,TRUE,1,1,4
122027,12,1.5,/,1,*,1,1,1,1,0.5,>,2,2,+,1,5,FALSE,1.25,0,FALSE,100,100,TRUE,1,1,4
122029,12,2,/,1,*,1,1,1,1,0.5,>,2,2,+,1,5,FALSE,1.75,0,FALSE,100,100,TRUE,1,1,4
3020201,30,0,/,1,*,1,1,1,1,0.5,>,2,2,+,0,5,FALSE,0,0,FALSE,100,100,TRUE,1,1,4
302027,30,25,/,1,*,1,1,1,1,0.5,>,2,2,+,0,5,FALSE,25,0,FALSE,100,100,TRUE,1,1,4
302029,30,75,/,1,*,1,1,1,1,0.5,>,2,2,+,0,5,FALSE,75,0,FALSE,100,100,TRUE,1,1,4
6020201,6,0,/,1,*,1,1,1,1,0.5,>,2,2,+,0,5,FALSE,0,0,FALSE,100,100,TRUE,1,1,4
602027,6,0.25,/,1,*,1,1,1,1,0.5,>,2,2,+,0,5,FALSE,0.25,0,FALSE,100,100,TRUE,1,1,4
3801,38,0.25,*,2,/,2,20,20,20,0.5,>,2,2,+,0,5,TRUE,1,0,FALSE,100,100,FALSE,1,1,4
